確度,営業担当,技術担当,営業/技術,旧部門,部門,案件名,内外,BIZ,ソリューション識別,サービスライン名,"汎用識別
AOコード",汎用識別名,請求先,ヒト・モノ,売上1月,外注費1月,仕入1月,原価経費1月,社内人件費1月,売上総利益1月,率1月,売上2月,外注費2月,仕入2月,原価経費2月,社内人件費2月,売上総利益2月,率2月,売上3月,外注費3月,仕入3月,原価経費3月,社内人件費3月,売上総利益3月,率3月,売上4月,外注費4月,仕入4月,原価経費4月,社内人件費4月,売上総利益4月,率4月,売上5月,外注費5月,仕入5月,原価経費5月,社内人件費5月,売上総利益5月,率5月,売上6月,外注費6月,仕入6月,原価経費6月,社内人件費6月,売上総利益6月,率6月,売上7月,外注費7月,仕入7月,原価経費7月,社内人件費7月,売上総利益7月,率7月,売上8月,外注費8月,仕入8月,原価経費8月,社内人件費8月,売上総利益8月,率8月,売上9月,外注費9月,仕入9月,原価経費9月,社内人件費9月,売上総利益9月,率9月,売上10月,外注費10月,仕入10月,原価経費10月,社内人件費10月,売上総利益10月,率10月,売上11月,外注費11月,仕入11月,原価経費11月,社内人件費11月,売上総利益11月,率11月,売上12月,外注費12月,仕入12月,原価経費12月,社内人件費12月,売上総利益12月,率12月
B1,和田,梶原,営業,EIS,HCM,PO/SB 日本ペイント　配賦データ作成処理の仕様変更対応,内,BS,HCM／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,306,HCM,ISID,ヒト,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,,,0,0,746900,662200,,,,84700,0.113,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0
C1,和田,亀川,営業,EIS,HCM,PO/SB 関西ペイント(在宅勤務手当および扶養手当支給対応）,内,BS,HCM／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,306,HCM,ISID,ヒト,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,892500,787500,,,,105000,0.118,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0
C1,和田,池田,営業,EIS,HCM,PO/SB ISID給与導入他支援作業（池田）,内,BS,HCM／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,306,HCM,ISID,ヒト,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,1200000,,,,781605,418395,0.349,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0
A0,和田,佐藤,営業,EIS,SOL,STRAVIS (社員3名)　★集約リスト参照,内,BS,STRVS・CiX／ヒト／継続,5a 個別運用保守ｻｰﾋﾞｽ,320,その他,ISID,ヒト,1905000,0,0,0,1533696,371304,0.195,1905000,0,0,0,1477353,427647,0.224,1905000,0,0,873,1537020,367107,0.193,1905000,0,0,0,1418329,486671,0.255,1905000,0,0,0,1466962,438038,0.23,1905000,0,0,0,1492013,412988,0.217,1175000,0,0,0,941408,233592,0.199,1175000,0,0,0,941408,233592,0.199,1175000,0,0,0,941408,233592,0.199,1175000,0,0,0,941408,233592,0.199,1175000,0,0,0,941408,233592,0.199,1175000,0,0,0,941408,233592,0.199
A0,和田,佐藤,営業,EIS,SOL,Ci*X クボタ Ci*X導入,内,BS,STRVS・CiX／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,309,STRAVIS,ISID,ヒト,0,0,0,0,0,0,0,640000,391107,0,0,80230,168663,0.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0
A0,和田,佐藤,営業,EIS,SOL,Ci*X クボタ Ci*X導入（Step2要件定義）,内,BS,STRVS・CiX／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,309,STRAVIS,ISID,ヒト,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1880000,1077918,0,0,244161,557921,0.297,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0
A1,和田,佐藤,営業,EIS,SOL,Ci*X クボタ Ci*X導入（Step2設計・開発）,内,BS,STRVS・CiX／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,309,STRAVIS,ISID,ヒト,,,,,,0,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995000,1139000,0,0,156321,699679,0.351,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0
C0,和田,佐藤,営業,EIS,SOL,Ci*X クボタ Ci*X導入（Step2）,内,BS,STRVS・CiX／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,309,STRAVIS,ISID,ヒト,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,3150000,1809000,0,0,234482,1106519,0.351,,,,,,0,0,,,,,,0,0,1785000,804000,0,0,390803,590198,0.331
A1,和田,佐藤,営業,EIS,SOL,Ci*X クボタ Ci*X導入（特別保守3-6月）,内,BS,STRVS・CiX／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,309,STRAVIS,ISID,ヒト,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360000,260000,,,,100000,0.278,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0
C0,和田,佐藤,営業,EIS,SOL,Ci*X クボタ Ci*X導入（特別保守）,内,BS,STRVS・CiX／ヒト／新規,2a 個別案件型ｼｽﾃﾑ開発,309,STRAVIS,ISID,ヒト,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,,,,0,0,,,,,,0,0,315000,201000,,,,114000,0.362,,,,,,0,0,,,,,,0,0,315000,201000,,,,114000,0.362
