sol,顧客,"ソリュー
ションコード","ソリュー
ションコード名",SL,サービスライン,分類1,分類2,月,実績_売上,"実績_社外
原価外注","実績_社外
原価仕入","実績_社外
原価その他","実績_
限界利益","実績_
限界利益率","実績_
社内原価","実績_
売上総利益","実績_
売上総利益率",予算_売上,"予算_社外
原価外注","予算_社外
原価仕入","予算_社外
原価その他","予算_
限界利益","予算_
限界利益率","予算_
社内原価","予算_
売上総利益","予算_
売上総利益率",見込_売上,"見込_社外
原価外注","見込_社外
原価仕入","見込_社外
原価その他","見込_
限界利益","見込_
限界利益率","見込_
社内原価","見込_
売上総利益","見込_
売上総利益率",,"見込差異
売上","見込差異
限界利益","見込差異
売総利益","見込差異
社外原価","見込差異
社内原価","見込差異
外注費","見込差異
仕入れ","見込差異
その他",,
OFM11月,外部,OFM,外部 個別案件型ｼｽﾃﾑ開発保守ｻｰﾋﾞｽ,FSM,2b 個別案件型ｼｽﾃﾑ開発保守ｻｰﾋﾞｽ,0,0,11月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,,0,0,0,0,0,0,0,0,,
OHL11月,外部,OHL,外部 情報機器･その他ｿﾌﾄ販売,HSL,6a 情報機器･その他ｿﾌﾄ販売,モノ,継続,11月,440,0,385,0,55,0.125,0,55,0.125,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,0,440,55,55,385,0,0,385,0,,
OO111月,外部,OO1,外部 個別運用保守ｻｰﾋﾞｽ,OSI,5a 個別運用保守ｻｰﾋﾞｽ,ヒト,新規,11月,11497600,1741925.306,0,4897050.073,4858624.621,0.422577288,440245.0752,4418379.546,0.384287116,3567000,592552,0,1405018,1569430,0.439985983,60642,1508788,0.422985142,,,,,0,0,,0,0,0.038290171,11497600,4858624.621,4418379.546,6638975.379,440245.0752,1741925.306,0,4897050.073,,
OSC11月,外部,OSC,外部 ｾﾝﾀｰ利用型運用保守ｻｰﾋﾞｽ,OSC,5b ｾﾝﾀｰ利用型運用保守ｻｰﾋﾞｽ,0,0,11月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,,0,0,0,0,0,0,0,0,,
DBL12月,電通,DBL,電通 ｿﾌﾄ商品販売,BSL,4a ｿﾌﾄ商品販売,0,0,12月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,,0,0,0,0,0,0,0,0,,
DBM12月,電通,DBM,電通 ｿﾌﾄ商品保守ｻｰﾋﾞｽ,BSM,4b ｿﾌﾄ商品保守ｻｰﾋﾞｽ,モノ,継続,12月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,,0,0,0,0,0,0,0,0,,
DCN12月,電通,DCN,電通 ｺﾝｻﾙﾃｨﾝｸﾞｻｰﾋﾞｽ,CON,1  ｺﾝｻﾙﾃｨﾝｸﾞｻｰﾋﾞｽ,ヒト,新規,12月,25692587,12474938,0,50474,13167175,0.512489264,3443388,9723787,0.378466637,32221750,14666860,0,59380,17495510,0.542972061,5574612,11920898,0.369964325,,,,,0,0,,0,0,0.134022627,25692587,13167175,9723787,12525412,3443388,12474938,0,50474,,
DFM12月,電通,DFM,電通 個別案件型ｼｽﾃﾑ開発保守ｻｰﾋﾞｽ,FSM,2b 個別案件型ｼｽﾃﾑ開発保守ｻｰﾋﾞｽ,モノ,継続,12月,8433400,0,0,8227000,206400,0.024474115,0,206400,0.024474115,7947000,0,0,7756272,190728,0.024,0,190728,0.024,,,,,0,0,,0,0,0,8433400,206400,206400,8227000,0,0,0,8227000,,
DHL12月,電通,DHL,電通 情報機器･その他ｿﾌﾄ販売,HSL,6a 情報機器･その他ｿﾌﾄ販売,モノ,継続,12月,74920875,1473.138155,10943500,60373108.59,3602793.269,0.048087976,0,3602793.269,0.048087976,78932193,0,10942675,64178748,3810770,0.048279034,0,3810770,0.048279034,,,,,0,0,,0,0,0,74920875,3602793.269,3602793.269,71318081.73,0,1473.138155,10943500,60373108.59,,
DHM12月,電通,DHM,電通 情報機器･その他ｿﾌﾄ保守,HSM,6b 情報機器･その他ｿﾌﾄ保守,モノ,継続,12月,2073855.333,0,40725.75,1981283.2,51846.38333,0.025,0,51846.38333,0.025,47776833,0,0,46582409,1194424,0.025000066,0,1194424,0.025000066,,,,,0,0,,0,0,0,2073855.333,51846.38333,51846.38333,2022008.95,0,0,40725.75,1981283.2,,
DMC12月,電通,DMC,電通 その他諸口,MSC,7a その他諸口,モノ,継続,12月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,,0,0,0,0,0,0,0,0,,
DO112月,電通,DO1,電通 個別運用 人系 SLA,OSI,5a 個別運用保守ｻｰﾋﾞｽ,ヒト,継続,12月,42107350,22171600,0,1000000,18935750,0.449701774,8176328,10759422,0.255523608,45405000,22826411,0,0,22578589,0.497270983,9031472,13547117,0.298361788,,,,,0,0,,0,0,0.194178166,42107350,18935750,10759422,23171600,8176328,22171600,0,1000000,,
DO212月,電通,DO2,電通 個別運用 人系 ｲﾝﾏﾈ,OSI,5a 個別運用保守ｻｰﾋﾞｽ,ヒト,継続,12月,1801250,385000,0,0,1416250,0.786259542,353505,1062745,0.590004164,12301000,4465263,0,0,7835737,0.637,1439217,6396520,0.52,,,,,0,0,,0,0,0.196255378,1801250,1416250,1062745,385000,353505,385000,0,0,,
DO312月,電通,DO3,電通 個別運用 人系 関西,OSI,5a 個別運用保守ｻｰﾋﾞｽ,ヒト,継続,12月,8977500,4492304.038,0,94774.34679,4390421.615,0.489047242,2978056.39,1412365.226,0.157322776,8977500,4215475,0,6922,4755103,0.52966895,2597675,2157428,0.24031501,,,,,0,0,,0,0,0.331724466,8977500,4390421.615,1412365.226,4587078.385,2978056.39,4492304.038,0,94774.34679,,
DO412月,電通,DO4,電通 個別運用 人系 個別運用,OSI,5a 個別運用保守ｻｰﾋﾞｽ,ヒト,新規,12月,19939200,6668683.576,0,181694.9137,13088821.51,0.656436643,5073474.127,8015347.384,0.401989417,525609965,349718709,0,11530811,164360445,0.312704203,42868329,121492116,0.231145001,,,,,0,0,,0,0,0.254447226,19939200,13088821.51,8015347.384,6850378.489,5073474.127,6668683.576,0,181694.9137,,
DO512月,電通,DO5,電通 個別運用 人系 中部,OSI,5a 個別運用保守ｻｰﾋﾞｽ,ヒト,継続,12月,2820000,0,0,40000,2780000,0.985815603,2059695,720305,0.255427305,2820000,304523,0,0,2515477,0.892013121,1991271,524206,0.185888652,,,,,0,0,,0,0,0.730388298,2820000,2780000,720305,40000,2059695,0,0,40000,,
DO612月,電通,DO6,電通 個別運用 人系 運用保守,OSI,5a 個別運用保守ｻｰﾋﾞｽ,ヒト,継続,12月,11484897,2276557.588,0,1188218.127,8020121.286,0.698318956,3098873.962,4921247.323,0.428497297,9750847,3526080,0,1014461,5210306,0.53434394,586607,4623699,0.474184345,,,,,0,0,,0,0,0.269821659,11484897,8020121.286,4921247.323,3464775.714,3098873.962,2276557.588,0,1188218.127,,
DO812月,電通,DO8,電通 個別運用 人系 電通クラウド,OSI,5a 個別運用保守ｻｰﾋﾞｽ,ヒト,新規,12月,55347580,5435134.686,0,26002627.22,23909818.09,0.431993921,2841426.318,21068391.77,0.380656061,56709436,5120438,0,31877048,19711950,0.347595592,2718843,16993107,0.299652195,,,,,0,0,,0,0,0.05133786,55347580,23909818.09,21068391.77,31437761.91,2841426.318,5435134.686,0,26002627.22,,
DOA12月,電通,DOA,電通 個別運用 期間 海外,OSI,5a 個別運用保守ｻｰﾋﾞｽ,モノ,継続,12月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,,0,0,0,0,0,0,0,0,,
DOB12月,電通,DOB,電通 個別運用 期間 CAP,OSI,5a 個別運用保守ｻｰﾋﾞｽ,モノ,継続,12月,21250,0,0,5440,15810,0.744,0,15810,0.744,21250,0,0,5448,15802,0.743623529,0,15802,0.743623529,,,,,0,0,,0,0,0,21250,15810,15810,5440,0,0,0,5440,,
DOC12月,電通,DOC,電通 個別運用 期間 回線,OSI,5a 個別運用保守ｻｰﾋﾞｽ,モノ,新規,12月,13151867,461285.029,0,10819714.96,1870867.013,0.142251059,545263.7865,1325603.227,0.100792019,13161595,0,0,10519000,2642595,0.200780756,10764,2631831,0.199962922,,,,,0,0,,0,0,0.04145904,13151867,1870867.013,1325603.227,11280999.99,545263.7865,461285.029,0,10819714.96,,
DOD12月,電通,DOD,電通 個別運用 期間 電話関連,OSI,5a 個別運用保守ｻｰﾋﾞｽ,モノ,継続,12月,3850000,3080000,0,0,770000,0.2,78557,691443,0.179595584,13048000,10581928,0,0,2466072,0.189,313152,2152920,0.165,,,,,0,0,,0,0,0.020404416,3850000,770000,691443,3080000,78557,3080000,0,0,,
DOX12月,電通,DOX,電通 個別運用 都度発注 作業･工事･他,OSI,5a 個別運用保守ｻｰﾋﾞｽ,モノ,継続,12月,2868599,2787389.631,0,0,81209.369,0.028309767,0,81209.369,0.028309767,37342083,36622248,0,0,719835,0.019276777,0,719835,0.019276777,,,,,0,0,,0,0,0,2868599,81209.369,81209.369,2787389.631,0,2787389.631,0,0,,
DOY12月,電通,DOY,電通 個別運用 都度発注 消耗品,OSI,5a 個別運用保守ｻｰﾋﾞｽ,モノ,継続,12月,18655,0,0,18199.9599,455.0401008,0.024392394,0,455.0401008,0.024392394,165565,0,0,161526,4039,0.024395253,0,4039,0.024395253,,,,,0,0,,0,0,0,18655,455.0401008,455.0401008,18199.9599,0,0,0,18199.9599,,
