技術担当部署,案件責任,営業/開発担当者,確度,プロジェクト名,S/L,AOコード,AOコード名,セグメント,請求先,内外,カテゴリ,ヒト/モノ,新規・継続,サービスCD,サービス名,売上1月,外注費1月,仕入1月,原価経費1月,社内人件費1月,売上総利益1月,率1月,売上2月,外注費2月,仕入2月,原価経費2月,社内人件費2月,売上総利益2月,率2月,売上3月,外注費3月,仕入3月,原価経費3月,社内人件費3月,売上総利益3月,率3月,売上4月,外注費4月,仕入4月,原価経費4月,社内人件費4月,売上総利益4月,率4月,売上5月,外注費5月,仕入5月,原価経費5月,社内人件費5月,売上総利益5月,率5月,売上6月,外注費6月,仕入6月,原価経費6月,社内人件費6月,売上総利益6月,率6月,売上7月,外注費7月,仕入7月,原価経費7月,社内人件費7月,売上総利益7月,率7月,売上8月,外注費8月,仕入8月,原価経費8月,社内人件費8月,売上総利益8月,率8月,売上9月,外注費9月,仕入9月,原価経費9月,社内人件費9月,売上総利益9月,率9月,売上10月,外注費10月,仕入10月,原価経費10月,社内人件費10月,売上総利益10月,率10月,売上11月,外注費11月,仕入11月,原価経費11月,社内人件費11月,売上総利益11月,率11月,売上12月,外注費12月,仕入12月,原価経費12月,社内人件費12月,売上総利益12月,率12月
ＯＰＣ,開発,藤後,A0,STR PAS向け ヘルプデスク,5b ｾﾝﾀｰ利用型運用保守サービス,501,ヘルプデスク,BS,ISID,内,OPC,ヒト,継続,B15,STRAVIS（クラウド）,110000,0,0,0,0,110000,1,110000,0,0,0,0,110000,1,110000,0,0,0,0,110000,1,110000,0,0,0,0,110000,1,110000,0,0,0,0,110000,1,110000,0,0,0,0,110000,1,110000,0,0,0,0,110000,1,110000,0,0,0,0,110000,1,110000,0,0,0,0,110000,1,110000,0,0,0,0,110000,1,110000,0,0,0,0,110000,1,110000,0,0,0,0,110000,1
ＯＰＣ,開発,藤後,A0,ANA EARTH様向けヘルプデスク行,5b ｾﾝﾀｰ利用型運用保守サービス,501,ヘルプデスク,EIT,ISID,内,OPC,ヒト,継続,B7D,BSその他,90000,0,0,0,0,90000,1,90000,0,0,0,0,90000,1,90000,0,0,0,0,90000,1,90000,0,0,0,0,90000,1,90000,0,0,0,0,90000,1,90000,0,0,0,0,90000,1,90000,0,0,0,0,90000,1,90000,0,0,0,0,90000,1,90000,0,0,0,0,90000,1,90000,0,0,0,0,90000,1,90000,0,0,0,0,90000,1,90000,0,0,0,0,90000,1
ＯＰＣ,開発,藤後,A0,東京エレクトロン様向けヘルプデスクサービス,5b ｾﾝﾀｰ利用型運用保守サービス,501,ヘルプデスク,EIT,ISID,内,OPC,ヒト,継続,B7D,BSその他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260000,0,0,0,0,260000,1,219000,0,0,0,0,219000,1,219000,0,0,0,0,219000,1,219000,0,0,0,0,219000,1,219000,0,0,0,0,219000,1,219000,0,0,0,0,219000,1,219000,0,0,0,0,219000,1,219000,0,0,0,0,219000,1,219000,0,0,0,0,219000,1
ＯＰＣ,開発,藤後,A0,ボイスメール,5b ｾﾝﾀｰ利用型運用保守サービス,501,ヘルプデスク,BS,ISID,内,OPC,ヒト,継続,B7D,BSその他,61500,0,0,0,0,61500,1,61500,0,0,0,0,61500,1,61500,0,0,0,0,61500,1,61500,0,0,0,0,61500,1,61500,0,0,0,0,61500,1,61500,0,0,0,0,61500,1,61500,0,0,0,0,61500,1,61500,0,0,0,0,61500,1,61500,0,0,0,0,61500,1,61500,0,0,0,0,61500,1,61500,0,0,0,0,61500,1,61500,0,0,0,0,61500,1
ＯＰＣ,開発,藤後,A0,Itaメール監視,5b ｾﾝﾀｰ利用型運用保守サービス,501,ヘルプデスク,EIT,ISID,内,OPC,ヒト,継続,B7D,BSその他,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1
ＯＰＣ,,,,(ヘルプデスク　AO直契約）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＯＰＣ,営業,森川,A0,クラシアン会計システム向け ヘルプデスクサービス,5b ｾﾝﾀｰ利用型運用保守サービス,501,ヘルプデスク,EIT,ISID,外,OPC,ヒト,継続,B23,SuperStream,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1
ＯＰＣ,営業,森川,A0,クラシアン人事システム向け ヘルプデスクサービス,5b ｾﾝﾀｰ利用型運用保守サービス,501,ヘルプデスク,EIT,ISID,外,OPC,ヒト,継続,B23,SuperStream,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1,60000,0,0,0,0,60000,1
ＯＰＣ,営業,中村,A0,ホームロジスティクス様向け TMS+PLSヘルプデスクサービス,5b ｾﾝﾀｰ利用型運用保守サービス,501,ヘルプデスク,EIT,ISID,外,OPC,ヒト,継続,B7D,BSその他,400000,0,0,0,0,400000,1,400000,0,0,0,0,400000,1,400000,0,0,0,0,400000,1,400000,0,0,0,0,400000,1,400000,0,0,0,0,400000,1,400000,0,0,0,0,400000,1,400000,0,0,0,0,400000,1,400000,0,0,0,0,400000,1,400000,0,0,0,0,400000,1,400000,0,0,0,0,400000,1,400000,0,0,0,0,400000,1,400000,0,0,0,0,400000,1
ＯＰＣ,営業,戸村,A0,日立ハイテクフィールディング様向け システム運用支援サービス,5b ｾﾝﾀｰ利用型運用保守サービス,501,ヘルプデスク,EIT,ISID,外,OPC,ヒト,継続,B7D,BSその他,420000,0,0,0,0,420000,1,420000,0,0,0,0,420000,1,420000,0,0,0,0,420000,1,420000,0,0,0,0,420000,1,420000,0,0,0,0,420000,1,420000,0,0,0,0,420000,1,420000,0,0,0,0,420000,1,420000,0,0,0,0,420000,1,420000,0,0,0,0,420000,1,420000,0,0,0,0,420000,1,420000,0,0,0,0,420000,1,420000,0,0,0,0,420000,1
